X, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 1, 1, 1, 1, 1
1, 15, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 15, 1, 1, 1, 1, 1
1, 15, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 15, 1, 15, 1, 15, 1
1, 15, 1, 1, 1, 15, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 15, 1, 1, 5, 1
1, 15, 1, 15, 1, 15, 1
1, 15, 1, 15, 1, 15, 1
1, 5, 1, 1, 15, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 1, 1, 1, 1, 1
1, 15, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 15, 1, 1, 1, 1, 1
1, 15, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 15, 1, 1, 1, 15, 1
1, 15, 1, 1, 1, 15, 1
1, 1, 15, 15, 15, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 15, 1, 15, 1, 15, 1
1, 15, 1, 1, 1, 15, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 15, 1, 1, 5, 1
1, 15, 1, 15, 1, 15, 1
1, 15, 1, 15, 1, 15, 1
1, 5, 1, 1, 15, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 15, 15, 15, 1, 1
1, 15, 1, 1, 1, 15, 1
1, 15, 1, 15, 1, 15, 1
1, 1, 1, 15, 15, 1, 1
1, 1, 1, 1, 1, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 1, 15, 15, 1, 1, 1
1, 1, 1, 15, 15, 1, 1
1, 15, 15, 15, 15, 15, 1
1, 1, 1, 1, 1, 1, 1
1, 1, 1, X, X, X, X
